Product,Revenue,Session,Time
CDGJFK,3609046,5.018384569,9.487339362
ORYNCE,10000,4.136046443,9.393671762
TLSORY,10000,3.876363285,8.876745804
ORYTLS,10000,3.824554271,8.749085986
NCEORY,10000,4.310751445,9.832069484
ORYRUN,2346915,4.207302709,8.205282019
ORYPTP,1746844,4.767246551,8.193767598
ORYFDF,1473454,4.662943495,8.249617049
ORYMRS,1100109,4.25576072,9.758172613
MRSORY,1026436,4.157510272,9.334608945
CDGHKG,991205,5.547619048,10.16910009
CDGLAX,982941,4.827529022,9.718718482
CDGYUL,976660,4.878205128,9.352033725
ORYBIQ,964304,4.479044517,9.927663428
BODORY,879754,4.37228845,9.898632397
CDGEZE,866182,4.535147392,9.242148649
CDGSFO,860912,4.190851735,9.201974007
ORYBOD,841571,4.470281996,9.566038301
CDGDKR,793694,4.534435262,9.010594231
CDGCMN,785754,3.993466721,8.010297499
CDGFCO,778918,4.476411446,9.038160102
ORYTLN,753537,4.416641452,9.632665949
CDGPVG,752042,4.672268908,9.730825597
CDGMIA,739225,5.79109589,10.90296396
BIQORY,735259,4.503118503,9.172959823
CDGGIG,727213,6.034482759,10.25587436
ORYPUF,684822,4.201931784,9.592924312
CDGNCE,683135,4.214107884,8.617966757
CDGSXM,671767,5.161524501,9.439715018
CDGNRT,667967.02,5.109947644,9.709418518
CDGSCL,661963,4.642857143,8.474931393
ORYAJA,643624,4.130826101,8.982304536
CDGBKK,634772,5.414772727,10.16066119
CDGTXL,634116,3.938670695,7.8081202
FDFORY,629994,4.570247934,9.342268849
CDGABJ,624710,4.558571429,8.6376424
CDGGVA,619281,5.335076253,10.92667482
PUFORY,615623,4.260936537,9.744683535
NCECDG,613904,4.202710843,8.414074866
CDGGRU,612766,5.102150538,9.996588343
CDGALG,590819,4.01127321,6.492717977
CDGLIS,575327,4.16468039,7.991037796
CDGNOU,575090.6,4.706666667,8.792613151
ORYCAY,574417,3.899810964,8.070521754
TLSCDG,572291,4.004267425,8.558140783
ORYMPL,564912,4.106953893,9.45646513
RUNORY,547600,5.014893617,10.25745361
PTPORY,542450,4.121518987,8.677060784
ORYBIA,539213,4.484159523,9.120430237
CDGMAD,537157,4.809782609,9.954254422
CDGARN,533030,4.31656303,9.294473869
CDGMRU,528771,4.281632653,8.096934864
CDGVCE,526062,4.781456954,9.456040572
CDGMUC,525098,4.410534781,9.345586357
MPLORY,513778,4.109399684,9.190659808
BODPTP,506170,5.845433255,8.886015889
CDGIAD,501823,5.0375,10.48057364
CDGBCN,494427,4.584740827,9.550512651
CDGTLV,493603,4.812807882,9.06009013
CDGBKO,493475,4.9,8.694802424
CAYORY,490591,4.78957529,9.597360928
CDGTUN,489872,4.924232937,9.173040492
CDGIST,489855,4.504743833,8.618351152
CDGRBA,469876,4.309673367,7.65473068
