IATA,label,latitude,longitude
AAL,Aalborg,57.092789,9.849164
AOA,Aalborg,57.092789,9.849164
ABZ,Aberdeen,57.201944,-2.197778
ABR,Aberdeen,45.4491,-98.4218
ABJ,Abidjan,5.261386,-3.926294
ABI,Abilene,32.411319,-99.681897
AUH,Abu,24.432972,54.651138
ABV,Abuja,9.006792,7.263172
ACA,Acapulco,16.757061,-99.753953
ACC,Accra,5.605186,-0.166786
ADD,Addis,8.977889,38.799319
ADL,Adelaide,-34.945,138.530556
AGA,Agadir,30.381353,-9.546311
AGF,Agen,44.174721,0.590556
BQN,Aguadilla,18.494861,-67.129444
AGU,Aguascalientes,21.705558,-102.317858
AGS,Agusta,33.369944,-81.9645
AMD,Ahmedabad,23.077242,72.63465
AJA,Ajaccio,41.923637,8.802917
AXT,Akita,39.615556,140.218611
ABC,Albacete,38.948528,-1.863517
ABY,Albany,31.5355,-84.1945
ALB,Albany,42.748267,-73.801692
ABQ,Albuquerque,35.0402222,-106.6091944
AEX,Alexandria,31.3274,-92.549833
AHO,Alghero,40.632133,8.290772
ALG,Algiers,36.691014,3.215408
ALC,Alicante,38.282169,-0.558156
ABE,Allentown,40.652083,-75.440806
ALA,Almaty,43.352072,77.040508
APN,Alpena,45.0781,-83.5603
AMA,Amarillo,35.219369,-101.705931
AMM,Amman,31.722556,35.993214
AMS,Amsterdam,52.308613,4.763889
ANC,Anchorage,61.174361,-149.996361
AOI,Ancona,43.616389,13.362222
ASD,Andros,24.698283,-77.795611
ANE,Angers,47.5603,-0.312222
QXG,Angers,47.5603,-0.312222
NCY,Annecy,45.929233,6.098764
TNR,Antananarivo,-18.79695,47.478806
ANU,Antigua,17.136749,-61.792667
ANR,Antwerp,51.189444,4.460278
ZWE,Antwerp,51.189444,4.460278
ZYZ,Antwerp,51.189444,4.460278
AOJ,Aomori,40.734722,140.690833
ATW,Appleton,44.257526,-88.507576
AAK,Aranuka,0.185278,173.636389
AQP,Arequipa,-16.341072,-71.583083
AXM,Armenia,4.452775,-75.766447
AUA,Aruba,12.501389,-70.015221
AVL,Asheville,35.436194,-82.541806
ATH,Athens,37.936358,23.944467
ATL,Atlanta,33.636719,-84.428067
ACY,Atlantic,39.457583,-74.577167
AKL,Auckland,-37.008056,174.791667
AUG,Augusta,44.320647,-69.797317
